subject,predicate,object
http://dbpedia.org/resource/Tsakonian_language,http://dbpedia.org/property/fam,http://dbpedia.org/resource/Hellenic_languages
http://dbpedia.org/resource/Egypt,http://dbpedia.org/property/lowerHouse,http://dbpedia.org/resource/House_of_Representatives_(Egypt)
http://dbpedia.org/resource/Darius_III,http://dbpedia.org/property/successor,http://dbpedia.org/resource/Alexander_the_Great
Apis (deity),P104,Sacred bull in Egyptian mythology
http://dbpedia.org/resource/Egypt,http://dbpedia.org/property/upperHouse,http://dbpedia.org/resource/Senate_(Egypt)
http://dbpedia.org/resource/Alexander_the_Great,http://dbpedia.org/property/markDescription,http://dbpedia.org/resource/Jhelum_River
http://dbpedia.org/resource/Egypt,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Menes
http://dbpedia.org/resource/Egyptian_hieroglyphs,http://xmlns.com/foaf/0.1/isPrimaryTopicOf,http://en.wikipedia.org/wiki/Egyptian_hieroglyphs
http://dbpedia.org/resource/Alexander_the_Great,http://dbpedia.org/property/mother,http://dbpedia.org/resource/Olympias
http://dbpedia.org/resource/Ancient_Greece,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Battle_of_Gaugamela
Hellenistic period,P67,https://en.wikipedia.org/wiki/Hellenistic_period
http://dbpedia.org/resource/Parmenion,http://dbpedia.org/property/deathPlace,http://dbpedia.org/resource/Macedonia_(ancient_kingdom)
http://dbpedia.org/resource/Macedonia_(ancient_kingdom),http://dbpedia.org/property/event,http://dbpedia.org/resource/Wars_of_the_Diadochi
http://dbpedia.org/resource/Alexandria,http://dbpedia.org/ontology/type,http://dbpedia.org/resource/Metropolis
http://dbpedia.org/resource/Sphinx,http://dbpedia.org/property/similarEntities,http://dbpedia.org/resource/Narasimha
http://dbpedia.org/resource/Cleitus_the_Black,http://dbpedia.org/property/allegiance,http://dbpedia.org/resource/Macedonia_(ancient_kingdom)
Anubis,P67,Hor-Aha
http://dbpedia.org/resource/Achaemenid_Empire,http://dbpedia.org/property/religion,http://dbpedia.org/resource/Ancient_Greek_religion
http://dbpedia.org/resource/Macedonian_Empire,http://dbpedia.org/ontology/wikiPageRedirects,http://dbpedia.org/resource/Macedonia_(ancient_kingdom)
http://dbpedia.org/resource/Sphinx,http://dbpedia.org/property/similarEntities,http://dbpedia.org/resource/Lamassu
Egyptian Greeks,P67,Alexander the Great
Egyptian third pharaoh of the Nineteenth Dynasty,P196,https://en.wikipedia.org/wiki/Ramesses_II
